School,Department,Course
,,Quaternary Sciences (QUAT)
,,Human Centered Design and Engineering (HCDE)
,,Industrial Engineering (IND E)
,,Materials Science and Engineering (MSE)
,,Mechanical Engineering (M E)
The Information School,,Informatics (INFO)
,,Information Management and Technology (IMT)
,,Information Science (INSC)
,,Information Technology Applications (ITA)
,,Library and Information Science (LIS)
,,Library Information Technoolgy in Schools (LITS)
Interdisciplinary Graduate,Interdisciplinary Grad Programs,Biomolecular Structure and Design (BMSD)
,Interdisciplinary Grad Programs,Data Science (DATA)
,Interdisciplinary Grad Programs,Graduate School (GRDSCH)
,Interdisciplinary Grad Programs,Human-Computer Interaction Design (HCID)
,Interdisciplinary Grad Programs,Individual PhD (IPHD)
,Interdisciplinary Grad Programs,Molecular and Cellular Biology (MCB)
,Interdisciplinary Grad Programs,Molecular Engineering (MOLENG)
,Interdisciplinary Grad Programs,Museology (MUSEUM)
,Interdisciplinary Grad Programs,Near and Middle Eastern Studies (N MES)
,Interdisciplinary Grad Programs,Neurobiology and Behavior (NEUBEH)
,Interdisciplinary Grad Programs,Neuroscience (NEURO)
,Interdisciplinary Grad Programs,Nutritional Science (NUTR)
,Interdisciplinary Grad Programs,"Science, Technology, and Society Studies (STSS)"
,Interdisciplinary Grad Programs,Technology Innovation (TECHIN)
Law,Law,Law (LAW)
,Law,Law A (LAW A)
,Law,Law B (LAW B)
,Law,Law C (LAW C)
,Law,Law E (LAW E)
,Law,Law (Health) (LAW H)
,Law,Law (Intellectual Property) (LAW P)
,Law,Law (Taxation) (LAW T)
Medicine,Medicine,Anesthesiology (ANEST)
,Medicine,Biochemistry (BIOC)
,Medicine,Bioethics and Humanities (B H)
,Medicine,Biological Structure (B STR)
,Medicine,Biomedical Informatics and Medical Education (BIME)
,Medicine,Comparative Medicine (C MED)
,Medicine,Conjoint Courses (CONJ)
,Medicine,Family Medicine (FAMED)
,Medicine,Genome Sciences (GENOME)
,Medicine,Global Health (G H)
,Medicine,Human Biology (HUBIO)
,Medicine,Immunology (IMMUN)
,Medicine,Laboratory Medicine (LAB M)
,Medicine,MEDEX (MEDEX)
,Medicine,Emergency Medicine (MED EM)
,Medicine,Medicine (MED)
,Medicine,Medicine Elective Clerkships (MEDECK)
,Medicine,Medicine Required Clerkships (MEDRCK)
,Medicine,Medical Science (MEDSCI)
,Medicine,Microbiology (MICROM)
,Medicine,Neurological Surgery (NEUR S)
,Medicine,Neurology (NEURL)
,Medicine,Obstetrics and Gynecology (OB GYN)
,Medicine,Ophthalmology (OPHTH)
,Medicine,Orthopaedics (ORTHP)
,Medicine,Otolaryngology-Head and Neck Surgery (OTOHN)
,Medicine,Pathology (PATH)
,Medicine,Pediatrics (PEDS)
,Medicine,Pharmacology (PHCOL)
,Medicine,Physiology and Biophysics (P BIO)
,Medicine,Psychiatry and Behavioral Sciences (PBSCI)
,Medicine,Radiation Oncology (R ONC)
,Medicine,Radiology (RADGY)
,Medicine,Prosthetics and Orthotics (RHB PO)
,Medicine,Rehabilitation Medicine (REHAB)
,Medicine,Surgery (SURG)
,Medicine,Urology (UROL)
Nursing,Nursing,Infant and Early Childhood Mental Health (IECMH)
,Nursing,Nursing (NSG)
,Nursing,Nursing (NURS)
,Nursing,Nursing Clinical (NCLIN)
,Nursing,Nursing Methods (NMETH)
Pharmacy,Pharmacy,Medicinal Chemistry (MEDCH)
,Pharmacy,Pharmaceutics (PCEUT)
,Pharmacy,Pharmacy (PHARM)
,Pharmacy,Pharmacy Practice (PHARMP)
,Pharmacy,Pharmacy Regulatory Affairs (PHRMRA)
Public Policy & Governance,Public Policy & Governance,Public Affairs Executive MPA (PA EX)
,Public Policy & Governance,Public Policy (PUBPOL)
,Public Policy & Governance,Public Policy and Management (PPM)
Public Health,Public Health,Biostatistics (BIOST)
,Public Health,Environmental Health (ENV H)
,Public Health,Epidemiology (EPI)
,Public Health,Global Health (G H)
,Public Health,Health Informatics and Health Information Management (HIHIM)
,Public Health,Health Services (HSERV)
,Public Health,Health Services Management (HSMGMT)
,Public Health,Nutritional Science (NUTR) -- See Interdisciplinary Graduate Programs
,Public Health,Pathobiology (PABIO)
,Public Health,Public Health Genetics (PHG)
,Public Health,School of Public Health (SPH)
ROTC,ROTC,Aerospace Studies (A S)
,ROTC,Military Science (M SCI)
,ROTC,Naval Science (N SCI)
Social Work,Social Work,Social Welfare BASW (SOC WF)
,Social Work,Social Welfare (SOC WL)
,Social Work,Social Work (MSW) (SOC W)
