Academic_Year,Term,Course_Number,Course_Title,Primary_Instructor,Student_Count,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Average_GPA
2015-16,20154 (Autumn 2015),ENGL 102 I,WRIT FM SOURCES II,"SANDLER, JULIA DEAK",15,12,1,,1,1,,,,,,,,,3.8
2015-16,20154 (Autumn 2015),ENGL 103 A,WRIT FM SOURCES III,"MUSAZAY, FATEMA S",18,5,9,1,1,1,,,1,,,,,,3.5
2015-16,20154 (Autumn 2015),ENGL 103 B,WRIT FM SOURCES III,"RZEGOCKI, CLAIRE S.",17,8,7,1,,1,,,,,,,,,3.7
2015-16,20154 (Autumn 2015),ENGL 104 A,ACAD LISTEN SPEAKING,"HEISER, PATTY",15,3,7,3,,1,,,,,1,,,,3.4
2015-16,20154 (Autumn 2015),ENGL 104 B,ACAD LISTEN SPEAKING,"MCCARTY, SHARON M.",15,2,9,2,1,,,,,,,,,1,3.6
2015-16,20154 (Autumn 2015),ENGL 104 D,ACAD LISTEN SPEAKING,"JONES, ALEXANDRA",19,18,,,1,,,,,,,,,,3.9
2015-16,20154 (Autumn 2015),ENGL 104 E,ACAD LISTEN SPEAKING,"MARTONE, JEAN T.",17,9,6,1,,,,,,,,,,1,3.8
2015-16,20154 (Autumn 2015),ENGL 104 G,ACAD LISTEN SPEAKING,"GIURCA, M. E.",13,2,11,,,,,,,,,,,,3.7
2015-16,20154 (Autumn 2015),ENGL 108 A,WRITING READY,"WEBSTER, JOHN M",16,16,,,,,,,,,,,,,4
2015-16,20154 (Autumn 2015),ENGL 108 B,WRITING READY,"MATTHEWS, CARRIE R.",16,14,2,,,,,,,,,,,,3.9
2015-16,20154 (Autumn 2015),ENGL 108 B1,WRITING READY,"BOULWARE, TAYLOR J",23,7,13,,2,1,,,,,,,,,3.6
2015-16,20154 (Autumn 2015),ENGL 108 B2,WRITING READY,"SCHAUMBERG, EDWARD",22,3,2,12,2,3,,,,,,,,,3.3
2015-16,20154 (Autumn 2015),ENGL 108 C,WRITING READY,"ABUDUMUTAILIFU, AINIWAER",14,14,,,,,,,,,,,,,3.9
2015-16,20154 (Autumn 2015),ENGL 108 D,WRITING READY,"JANSSEN, ELIZABETH COLE",16,13,3,,,,,,,,,,,,3.9
2015-16,20154 (Autumn 2015),ENGL 108 E,WRITING READY,"SMITH, ALEXANDRA V.",16,16,,,,,,,,,,,,,3.9
2015-16,20154 (Autumn 2015),ENGL 108 F,WRITING READY,"MCCOY, SHANE A.",16,9,7,,,,,,,,,,,,3.8
2015-16,20154 (Autumn 2015),ENGL 108 G,WRITING READY,"KNAPP, CALEB BYRON",16,16,,,,,,,,,,,,,4
2015-16,20154 (Autumn 2015),ENGL 108 H,WRITING READY,"ROMPOGREN, JUSTINA C",16,15,,,1,,,,,,,,,,3.9
2015-16,20154 (Autumn 2015),ENGL 108 I,WRITING READY,"VAN HOUDT, JENNIFER",16,16,,,,,,,,,,,,,3.9
2015-16,20154 (Autumn 2015),ENGL 108 J,WRITING READY,"KIM, SOH YEUN",16,5,10,,,,1,,,,,,,,3.7
2015-16,20154 (Autumn 2015),ENGL 108 K,WRITING READY,"CHAO, ROGER C",16,15,1,,,,,,,,,,,,3.9
2015-16,20154 (Autumn 2015),ENGL 108 M,WRITING READY,"DYKEMA, JULIE",16,12,4,,,,,,,,,,,,3.9
2015-16,20154 (Autumn 2015),ENGL 108 N,WRITING READY,"MANGANARO, ANTHONY SALEM",15,15,,,,,,,,,,,,,4
2015-16,20154 (Autumn 2015),ENGL 108 O,WRITING READY,"MALONE, JENNIFER",15,15,,,,,,,,,,,,,4
2015-16,20154 (Autumn 2015),ENGL 108 P,WRITING READY,"KIRKING, ANNIE (CORNELIA)",16,13,3,,,,,,,,,,,,3.9
2015-16,20154 (Autumn 2015),ENGL 108 Q,WRITING READY,"BALD, EMILY K.",15,15,,,,,,,,,,,,,4
2015-16,20154 (Autumn 2015),ENGL 108 R,WRITING READY,"HOLMES, JESSICA MICHELLE",16,12,1,,,1,,,,,,,2,,3.4
2015-16,20154 (Autumn 2015),ENGL 108 S,WRITING READY,"BOURBONNAIS, ALISSA S",16,16,,,,,,,,,,,,,4
2015-16,20154 (Autumn 2015),ENGL 108 T,WRITING READY,"PETERS, NICOLE  CATHERINE",16,7,9,,,,,,,,,,,,3.8
2015-16,20154 (Autumn 2015),ENGL 108 U,WRITING READY,"VIDAKOVIC, MILAN",15,13,2,,,,,,,,,,,,3.9
2015-16,20154 (Autumn 2015),ENGL 108 V,WRITING READY,"BOULLET, RENE J",16,16,,,,,,,,,,,,,3.9
2015-16,20154 (Autumn 2015),ENGL 109 A,INTRODUCTORY COMP,"SEARCY, SHAUNA K",15,5,8,2,,,,,,,,,,,3.7
2015-16,20154 (Autumn 2015),ENGL 109 E,INTRODUCTORY COMP,"ESKEW, JOSHUA P",15,3,10,2,,,,,,,,,,,3.6
2015-16,20154 (Autumn 2015),ENGL 109 F,INTRODUCTORY COMP,"HERNANDEZ, OLIVIA J",15,10,5,,,,,,,,,,,,3.8
2015-16,20154 (Autumn 2015),ENGL 109 G,INTRODUCTORY COMP,"KNAPP, CALEB BYRON",15,5,9,,,,,,,1,,,,,3.6
2015-16,20154 (Autumn 2015),ENGL 109 H,INTRODUCTORY COMP,"GEORGE, EMILY C",13,5,6,,1,1,,,,,,,,,3.6
2015-16,20154 (Autumn 2015),ENGL 111 A,COMPOSITION: LIT,"BENTSON, DANIEL E",23,17,6,,,,,,,,,,,,3.9
